logbookID	title	desc	start_date	start_place	end_date	end_place	source	note	change_date	changer	masterIDs	vesselIDs	voyageIDs	master	repositoryID	ID_in_repo	ID_in_repo_alt	url_in_repo	viewer_url	creator	creatorID	thumbnail	citation	other_years	segmentIDs
AL057080	Logbook of the Saratoga (Ship) of New Bedford, Mass. Ephraim Harding, master. D.F. Worth, keeper. 1849 Sept. 5-1852 May 26		1849	New Bedford, MA	1852		NBWM		2018-10-05	N Silveira	AM2435	AS0614	AV12963		NBW	ODHS 436B	Microfilm Reel 272		https://archive.org/details/logbookofsaratog00unse	D.F. Worth				1849 1850 1851 1852	
AL057081	Saratoga (Ship) of New Bedford, Mass. Ephraim Harding, master. 1849 Sept. 5-1852 May 26		1849	New Bedford, MA	1852		NBWM		2018-11-14	N Silveira	AM2435	AS0614	AV12963		NBW	ODHS 447			https://archive.org/details/saratogashipofne00sara_0	Ephraim Harding				1849 1850 1851 1852	
AL057082	Logbook of the Almira (Ship) of Edgartown, Mass., mastered by Abraham Osborn Jr., on voyage from 8 Aug. 1864-4 Oct. 1868		1864	Edgartown, MA	1868		NBWM		2018-09-21	N Silveira	AM3665	AS0806	AV00673		NBW	ODHS 448A			https://archive.org/details/logbookofalmiras00unse					1864 1865 1866 1867 1868	
AL057083	Logbook of the Henry Taber (Bark) of New Bedford, mastered by Tim C. Packard, on voyage from 23 Oct. 1868-1871		1868 Oct 21	New Bedford, MA	1871 Sept 14		NBWM		2018-10-08	N Silveira	AM3680	AS0289	AV06446		NBW	ODHS 455			https://archive.org/details/logbookofhenryta00henr					1868 1869 1870 1871	
AL057084	Logbook of the James Arnold (Ship) of New Bedford, mastered by John S. Reynolds, on voyage from 21 Jan. 1892-6 Oct. 1894		1892 Jan 19	New Bedford, MA	1894		NBWM		2018-10-08	N Silveira	AM4064	AS0340	AV07293		NBW	ODHS 463			https://archive.org/details/logbookofjamesar00jame					1892 1893 1894	
AL057085	Sea Breeze (Bark) of New Bedford, Mass., mastered by James A. Hamilton, kept by mate Josiah Foster on voyage 18 Oct. 1865-11 Apr. 1871		1865 Oct 17	New Bedford, MA	1871		NBWM		2018-11-14	N Silveira	AM2388, AM1854, AM4336, AM2287, AM5325	AS0628	AV12991		NBW	ODHS 490A			https://archive.org/details/seabreezebarkofn00seab	Josiah Foster				1865 1866 1867 1868 1869 1870 1871	
AL057086	Sea Breeze (Bark) of New Bedford, Mass., mastered by R.D. Wicks, on voyage 3 Aug. 1871-10 May 1875		1871 Aug 3	New Bedford, MA	1875 May		NBWM		2018-11-14	N Silveira	AM5325	AS0628	AV12996		NBW	ODHS 493			https://archive.org/details/seabreezebarkout00seab					1871 1872 1873 1874 1875	
AL057087	Logbook of the Lagoda (Bark) of New Bedford, mastered by Stephen Swift, on voyage from 25 July 1868 to 1 June 1873		1868 July 25	New Bedford, MA	1873 June 1		NBWM		2018-11-14	N Silveira	AM4924	AS0381	AV08167		NBW	ODHS 494			https://archive.org/details/logbookoflagodab00lago	J.B. Ellis				1868 1869 1870 1871 1872 1873	
AL057088	Logbook of the Northern Light (Bark) of New Bedford, mastered by Gilbert L. Smith, Thomas Mellen, and West Mitchell, on voyage from 10 Oct. 1871 to 17 May 1880		1880 Sept 21	New Bedford, MA	1881		NBWM		2018-11-13	N Silveira	AM2214	AS0503	AV10632		NBW	ODHS 497			https://archive.org/details/logbookofnorther00nort	Thomas Mellon				1880 1881	
AL057089	Logbook of the Northern Light (Bark) of New Bedford, mastered by Gilbert L. Smith, Thomas Mellen, and West Mitchell, on voyage from 10 Oct. 1871-17 May 1880		1871 Oct 10	New Bedford, MA	1880 May 17		NBWM		2018-11-01	N Silveira	AM4495, AM3419, AM3462	AS0503	AV10630		NBW	ODHS 498			https://archive.org/details/logbookofnorther00nort_0					1871 1872 1873 1874 1875 1876 1877 1878 1879 1880	
AL057090	Logbook of the Arab (Bark) of Fairhaven, mastered by Asa E. Copeland, on voyage from 3 Oct. 1853-9 May 1857		1853	Fairhaven, MA	1857		NBWM		2018-10-05	N Silveira	AM5635	AS0039	AV01165		NBW	ODHS 507			https://archive.org/details/logbookofarabbar00arab	William M. Stetson				1853 1854 1855 1856 1857	
