mabsID	voyageID	voyage	masterID	maurymaster	vesselID	mauryvessel	mauryrig	mauryport	maurydest	mauryvol	maurypage	maurylink	mauryplaces	maurynotes	other_years
AB286	AV06890	Huntress : 1841-1844	AM4937	Taber	AS0277	Huntress	Ship	New Bedford, MA	S. Atlantic	108	176	https://catalog.archives.gov/id/454788615?objectPage=770	https://catalog.archives.gov/id/454788615?objectPage=594		1841 1842 1843 1844
AB287	AV06898	Huntsville : 1844-1847	AM2690	How, Geo. T.	AS1633	Huntsville	Ship	Cold Spring Harbor, NY		18	49	https://catalog.archives.gov/id/454768988?objectPage=259			1844 1845 1846 1847
AB288	AV06899	Huntsville : 1847-1849	AM4487	Smith, Freeman H.	AS1633	Huntsville	Ship	Cold Spring Harbor, NY		116	175	https://catalog.archives.gov/id/454790371?objectPage=674		sailed 12 Oct 1847	1847 1848 1849
AB289	AV06912	Huron : 1843-1845		Owens	AS1634	Huron	Ship	Sag Harbor, NY		392	37	https://catalog.archives.gov/id/454827471?objectPage=56			1843 1844 1845
AB290	AV06913	Huron : 1845-1848	AM5473	Woodruff, S. C.	AS1634	Huron	Ship	Sag Harbor, NY		392	84	https://catalog.archives.gov/id/454827471?objectPage=104			1845 1846 1847 1848
AB291	AV06921	Hydaspe : 1826-1827	AM3996	Randall, George	AS0269	Hydaspe	Ship	New Bedford, MA	Coast Brazil	410	17	https://catalog.archives.gov/id/454828811?objectPage=229	https://catalog.archives.gov/id/454828811?objectPage=218		1826 1827
AB292	AV17006	Hydaspe : 1833-1837	AM3962	Price	AS0269	Hydaspe	Ship		Payta	64	86	https://catalog.archives.gov/id/454779349?objectPage=554	https://catalog.archives.gov/id/454779349?objectPage=468	AOWV has AM3994 David B. Randall	1833 1834 1835 1836 1837
AB293	AV06930	Hydaspe : 1841-1845	AM3929	Post	AS0269	Hydaspe	Ship		Geograph Bay	99	1	https://catalog.archives.gov/id/454786670?objectPage=774	https://catalog.archives.gov/id/454786670?objectPage=772		1841 1842 1843 1844 1845
AB294	AV06986	India : 1840-1843	AM2160	Gelett, C. W.	AS0302	India	Ship			71	138	https://catalog.archives.gov/id/454781080?objectPage=523	https://catalog.archives.gov/id/454781080?objectPage=385		1840 1841 1842 1843
AB295	AV06987	India : 1843-1845	AM5169	Walker	AS0302	India	Ship		Bay of Islands	136	147	https://catalog.archives.gov/id/454794942?objectPage=577	https://catalog.archives.gov/id/454794942?objectPage=431		1843 1844 1845
AB296	AV06988	India : 1845-1848	AM1874	Fisher	AS0302	India	Ship		Bay of Islands	136	165	https://catalog.archives.gov/id/454794942?objectPage=595	https://catalog.archives.gov/id/454794942?objectPage=431		1845 1846 1847 1848
AB297	AV07019	Indus : 1822-1823	AM1912	Fitch	AS1648	Indus	Ship			128	193	https://catalog.archives.gov/id/454793109?objectPage=886	https://catalog.archives.gov/id/454793109?objectPage=695		1822 1823
AB298	AV07122	Iris : 1843-1847	AM4633	Spooner, Gideon B.	AS0300	Iris	Ship	New Bedford, MA	Callao	141	53	https://catalog.archives.gov/id/454795781?objectPage=692	https://catalog.archives.gov/id/454795781?objectPage=638		1843 1844 1845 1846 1847
AB299	AV07146	Isaac Howland : 1835-1838	AM4818	Swain	AS0303	Isaac Howland	Ship		Talcahuano	129	199	https://catalog.archives.gov/id/454794004?objectPage=184			1835 1836 1837 1838
AB300	AV07147	Isaac Howland : 1839-1843	AM4818	Swain	AS0303	Isaac Howland	Ship		Talcahuano	28	165	https://catalog.archives.gov/id/454771610?objectPage=183	https://catalog.archives.gov/id/454771610?objectPage=18		1839 1840 1841 1842 1843
AB301	AV07148	Isaac Howland : 1843-1845	AM1884	Fisher, Lorenzo	AS0303	Isaac Howland	Ship	New Bedford, MA	Indian Ocean	139	99	https://catalog.archives.gov/id/454795781?objectPage=318	https://catalog.archives.gov/id/454795781?objectPage=218		1843 1844 1845
AB302	AV07149	Isaac Howland : 1845-1848	AM1354	Cory	AS0303	Isaac Howland	Ship		Lahainia	136	114	https://catalog.archives.gov/id/454794942?objectPage=547	https://catalog.archives.gov/id/454794942?objectPage=430		1845 1846 1847 1848
AB303	AV07157	Isabella : 1831-1834	AM4957	Taber	AS0304	Isabella	Ship		Payta	158	19	https://catalog.archives.gov/id/454800028?objectPage=37	https://catalog.archives.gov/id/454800028?objectPage=17		1831 1832 1833 1834
AB304	AV07159	Isabella : 1835-1837	AM4951	Taber, John D.	AS1663	Isabella	Ship		Bay of Islands	158	51	https://catalog.archives.gov/id/454800028?objectPage=69	https://catalog.archives.gov/id/454800028?objectPage=17		1835 1836 1837
AB305	AV07162	Isabella : 1841-1845	AM2713	Howland, E.	AS0304	Isabella	Ship	New Bedford, MA	Pacific	404	114	https://catalog.archives.gov/id/454828273?objectPage=82		sailed 24 Jul 1841	1841 1842 1843 1844 1845
AB306	AV07163	Isabella : 1845-1848	AM4709	Stewart, A. N.	AS0304	Isabella	Ship	New Bedford, MA		404	77	https://catalog.archives.gov/id/454828273?objectPage=62		sailed 27 Jul 1845	1845 1846 1847 1848
